                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     96,                0.77998,                0.46321,                  1.103,                0.91797,                0.91138,                0.93662,                0.72596,                 0.8956,                0.46839,                 1.1434,             0.00031071,             0.00031071,             0.00031071
                     97,                0.78475,                 0.4615,                 1.1066,                0.92321,                0.90479,                0.93847,                 0.7292,                 0.8936,                0.46285,                  1.132,             0.00030521,             0.00030521,             0.00030521
                     98,                0.77367,                0.46506,                 1.1031,                0.90987,                0.92336,                0.94073,                0.73401,                0.89095,                0.46311,                 1.1316,             0.00029971,             0.00029971,             0.00029971
                     99,                0.76729,                0.45502,                 1.0944,                0.90429,                0.92383,                0.93949,                0.73143,                0.89157,                0.47244,                 1.1398,             0.00029422,             0.00029422,             0.00029422
                    100,                0.76606,                0.45405,                 1.0897,                0.90408,                0.92108,                 0.9393,                0.72932,                0.89312,                0.46102,                 1.1372,             0.00028872,             0.00028872,             0.00028872
                    101,                0.76456,                0.45124,                 1.0933,                0.91399,                0.92165,                0.93877,                0.73067,                0.89371,                0.45644,                 1.1199,             0.00028322,             0.00028322,             0.00028322
                    102,                0.76464,                 0.4492,                 1.0917,                  0.891,                0.93017,                0.93857,                0.72826,                0.89652,                0.46381,                 1.1315,             0.00027772,             0.00027772,             0.00027772
                    103,                0.76568,                0.45264,                 1.0966,                0.89848,                 0.9276,                0.93485,                0.72729,                0.89114,                0.47212,                 1.1499,             0.00027222,             0.00027222,             0.00027222
                    104,                0.75788,                0.45334,                 1.0878,                0.90292,                0.92527,                0.93925,                0.73268,                0.88832,                0.46618,                 1.1178,             0.00026673,             0.00026673,             0.00026673
                    105,                0.75686,                0.44636,                 1.0824,                0.90062,                0.93088,                0.93834,                0.72689,                0.90938,                0.46491,                  1.138,             0.00026123,             0.00026123,             0.00026123
                    106,                0.75202,                0.44386,                 1.0837,                0.89815,                0.92726,                0.94095,                0.73429,                 0.8933,                0.46308,                 1.1222,             0.00025573,             0.00025573,             0.00025573
                    107,                0.75605,                0.44462,                 1.0799,                0.90083,                0.92348,                0.93829,                 0.7316,                0.89297,                0.46718,                 1.1152,             0.00025023,             0.00025023,             0.00025023
                    108,                0.75423,                0.44249,                 1.0797,                0.91819,                0.91094,                0.94053,                0.73692,                 0.8893,                0.46558,                 1.1077,             0.00024474,             0.00024474,             0.00024474
                    109,                0.75199,                0.44638,                 1.0802,                0.91072,                0.92434,                0.94101,                0.73316,                0.89036,                0.46431,                 1.1151,             0.00023924,             0.00023924,             0.00023924
                    110,                0.74727,                0.44274,                 1.0783,                0.91227,                0.91517,                0.93907,                0.73283,                0.88874,                0.46688,                 1.1228,             0.00023374,             0.00023374,             0.00023374
                    111,                0.74308,                0.44125,                 1.0803,                0.92338,                0.90785,                0.94219,                0.73555,                0.88751,                0.46692,                  1.122,             0.00022824,             0.00022824,             0.00022824
                    112,                0.74535,                0.43852,                 1.0798,                0.91415,                0.91107,                0.94207,                 0.7341,                0.89324,                0.46712,                 1.1325,             0.00022274,             0.00022274,             0.00022274
                    113,                0.73486,                0.43489,                 1.0738,                0.90364,                0.93235,                0.94102,                0.73669,                0.89219,                0.46052,                 1.1249,             0.00021725,             0.00021725,             0.00021725
                    114,                0.73762,                0.43526,                 1.0776,                0.90956,                0.92589,                0.94263,                 0.7414,                0.88836,                0.45595,                 1.1227,             0.00021175,             0.00021175,             0.00021175
                    115,                0.73426,                0.43437,                 1.0752,                0.90339,                 0.9311,                0.93727,                0.73432,                0.88606,                0.46665,                 1.1185,             0.00020625,             0.00020625,             0.00020625
                    116,                0.72613,                0.42854,                 1.0704,                 0.9082,                 0.9241,                 0.9392,                0.73409,                0.88664,                0.46304,                 1.1232,             0.00020075,             0.00020075,             0.00020075
                    117,                0.72814,                0.42735,                 1.0722,                0.90256,                0.92001,                 0.9372,                0.73493,                0.88882,                0.46481,                 1.1374,             0.00019526,             0.00019526,             0.00019526
                    118,                 0.7214,                0.42774,                 1.0717,                0.89286,                0.93595,                0.93797,                0.73156,                0.89192,                0.46287,                 1.1583,             0.00018976,             0.00018976,             0.00018976
                    119,                  0.728,                0.42964,                 1.0726,                0.90326,                0.92767,                0.94183,                0.73619,                0.88809,                0.46491,                 1.1194,             0.00018426,             0.00018426,             0.00018426
                    120,                 0.7225,                0.42737,                 1.0647,                0.92161,                0.90874,                0.93911,                0.73454,                0.89458,                0.46322,                 1.1252,             0.00017876,             0.00017876,             0.00017876
                    121,                0.72955,                0.42855,                 1.0679,                0.91857,                0.91551,                  0.938,                 0.7356,                0.89485,                0.46129,                 1.1159,             0.00017326,             0.00017326,             0.00017326
                    122,                0.71747,                0.42309,                 1.0644,                0.89808,                0.92977,                0.93695,                0.73185,                0.89327,                 0.4654,                 1.1321,             0.00016777,             0.00016777,             0.00016777
                    123,                 0.7118,                0.42166,                 1.0636,                0.90559,                0.92678,                0.93714,                 0.7325,                0.88934,                0.46376,                 1.1213,             0.00016227,             0.00016227,             0.00016227
                    124,                0.71611,                0.42464,                  1.066,                0.91103,                0.92111,                0.93711,                0.73267,                0.88924,                0.46651,                 1.1294,             0.00015677,             0.00015677,             0.00015677
                    125,                0.71406,                0.42049,                 1.0657,                0.91964,                0.91566,                0.93728,                0.73352,                 0.8918,                0.46693,                 1.1261,             0.00015127,             0.00015127,             0.00015127
                    126,                0.70917,                 0.4174,                 1.0594,                0.92221,                0.91239,                0.93757,                0.73278,                0.89191,                0.46698,                 1.1234,             0.00014577,             0.00014577,             0.00014577
                    127,                0.70687,                0.41392,                  1.056,                0.91381,                0.91691,                0.93644,                0.72942,                0.89593,                 0.4674,                 1.1179,             0.00014028,             0.00014028,             0.00014028
                    128,                0.70466,                 0.4153,                 1.0543,                0.92116,                 0.9137,                 0.9365,                0.72937,                 0.8932,                0.46449,                 1.1144,             0.00013478,             0.00013478,             0.00013478
                    129,                0.70521,                0.41352,                 1.0511,                0.90744,                0.92501,                0.93799,                0.73199,                0.89419,                0.46773,                 1.1199,             0.00012928,             0.00012928,             0.00012928
                    130,                0.70766,                0.41465,                 1.0575,                0.88858,                0.93854,                0.93803,                0.73366,                0.89115,                0.46322,                 1.1165,             0.00012378,             0.00012378,             0.00012378
                    131,                0.69897,                0.41136,                 1.0528,                0.89635,                0.93114,                0.93748,                0.73384,                0.89362,                0.46224,                 1.1186,             0.00011829,             0.00011829,             0.00011829
                    132,                0.70197,                0.41098,                 1.0517,                0.90443,                0.92189,                  0.936,                0.73227,                0.89242,                0.46091,                 1.1231,             0.00011279,             0.00011279,             0.00011279
                    133,                0.70109,                0.40991,                 1.0529,                0.92078,                0.90731,                0.93798,                0.73326,                0.89791,                0.46284,                 1.1184,             0.00010729,             0.00010729,             0.00010729
                    134,                0.69707,                0.40598,                 1.0482,                0.91798,                0.90853,                0.93712,                0.73285,                0.89704,                0.46581,                 1.1139,             0.00010179,             0.00010179,             0.00010179
                    135,                0.69286,                0.40422,                 1.0498,                0.90832,                0.92068,                 0.9395,                0.73281,                0.89352,                 0.4658,                 1.1182,             9.6295e-05,             9.6295e-05,             9.6295e-05
                    136,                 0.6903,                0.40568,                 1.0456,                0.92366,                0.91801,                0.93669,                 0.7289,                0.89783,                0.46468,                 1.1206,             9.0797e-05,             9.0797e-05,             9.0797e-05
                    137,                 0.6879,                0.40039,                 1.0418,                0.91434,                0.91474,                0.93619,                0.73073,                0.89806,                0.46661,                 1.1194,             8.5299e-05,             8.5299e-05,             8.5299e-05
                    138,                0.68768,                0.39949,                 1.0431,                0.91836,                0.91829,                0.93679,                0.73119,                0.89688,                0.46764,                 1.1182,             7.9801e-05,             7.9801e-05,             7.9801e-05
                    139,                0.68413,                0.40041,                 1.0459,                0.91517,                0.92046,                0.93718,                0.73219,                0.89275,                0.46581,                  1.123,             7.4304e-05,             7.4304e-05,             7.4304e-05
                    140,                0.68676,                0.40076,                 1.0471,                0.90693,                0.91916,                0.93689,                0.73092,                0.89588,                0.46577,                 1.1295,             6.8806e-05,             6.8806e-05,             6.8806e-05
                    141,                0.62991,                 0.3076,                 1.0019,                0.91911,                0.91374,                0.93604,                0.72888,                0.89471,                 0.4672,                 1.1316,             6.3308e-05,             6.3308e-05,             6.3308e-05
                    142,                0.60447,                0.28992,                0.99086,                0.90754,                0.91881,                 0.9393,                0.73323,                0.89866,                0.46496,                 1.1307,              5.781e-05,              5.781e-05,              5.781e-05
                    143,                0.60076,                0.28912,                0.98509,                0.91172,                0.91761,                0.94028,                0.73662,                0.89427,                0.46528,                 1.1242,             5.2312e-05,             5.2312e-05,             5.2312e-05
                    144,                0.59628,                0.28465,                0.98325,                0.91302,                0.91356,                0.93813,                0.73588,                0.89261,                0.46655,                 1.1146,             4.6815e-05,             4.6815e-05,             4.6815e-05
                    145,                0.59022,                0.28346,                 0.9754,                0.91521,                0.91521,                0.93691,                0.73527,                0.89586,                 0.4703,                 1.1145,             4.1317e-05,             4.1317e-05,             4.1317e-05
                    146,                0.58877,                0.28167,                0.97675,                0.91616,                0.91137,                0.93739,                0.73524,                0.89723,                0.46801,                 1.1191,             3.5819e-05,             3.5819e-05,             3.5819e-05
                    147,                0.58791,                0.28298,                0.97971,                0.92467,                0.90901,                0.93693,                0.73535,                0.89725,                0.47106,                 1.1214,             3.0321e-05,             3.0321e-05,             3.0321e-05
                    148,                0.58666,                0.28038,                 0.9743,                0.92378,                0.91063,                0.93648,                0.73542,                0.89604,                0.47071,                 1.1207,             2.4823e-05,             2.4823e-05,             2.4823e-05
                    149,                0.58051,                0.27718,                0.97345,                0.91966,                0.91047,                0.93623,                0.73368,                0.89461,                0.47032,                 1.1184,             1.9326e-05,             1.9326e-05,             1.9326e-05
                    150,                0.58121,                0.27482,                0.97113,                0.92328,                0.90845,                0.93694,                0.73509,                0.89729,                0.46968,                 1.1179,             1.3828e-05,             1.3828e-05,             1.3828e-05
