epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,3926.92,0.88438,0.53392,1.13696,0.91042,0.93108,0.94512,0.7327,0.92802,0.47168,1.11095,0.000442656,0.000442656,0.000442656
73,3981.74,0.87601,0.52722,1.13557,0.91118,0.90939,0.94365,0.7301,0.92972,0.46773,1.12259,0.000437158,0.000437158,0.000437158
74,4036.19,0.87519,0.52629,1.1367,0.90825,0.91604,0.94208,0.73255,0.92364,0.46716,1.11472,0.000431661,0.000431661,0.000431661
75,4089.95,0.86938,0.51957,1.12732,0.90445,0.92256,0.94765,0.73444,0.92557,0.46596,1.10998,0.000426163,0.000426163,0.000426163
76,4143.7,0.86724,0.52353,1.12876,0.91418,0.92238,0.94251,0.72763,0.93546,0.46784,1.14711,0.000420665,0.000420665,0.000420665
77,4197.13,0.85853,0.51751,1.12627,0.91852,0.90994,0.94187,0.72343,0.95039,0.47498,1.12929,0.000415167,0.000415167,0.000415167
78,4250.76,0.86065,0.51481,1.13074,0.90397,0.92357,0.9409,0.72903,0.93688,0.47223,1.12769,0.000409669,0.000409669,0.000409669
79,4304.47,0.85644,0.51265,1.12284,0.91702,0.90801,0.94361,0.7291,0.9346,0.4641,1.11101,0.000404172,0.000404172,0.000404172
80,4357.82,0.86345,0.51336,1.12717,0.91676,0.91343,0.94556,0.73223,0.93773,0.46502,1.12073,0.000398674,0.000398674,0.000398674
81,4411.2,0.85451,0.5114,1.11882,0.91408,0.90888,0.9435,0.7266,0.93051,0.46842,1.11029,0.000393176,0.000393176,0.000393176
82,4465.13,0.84606,0.50739,1.11717,0.90408,0.91744,0.93803,0.72683,0.94002,0.47382,1.1128,0.000387678,0.000387678,0.000387678
83,4519.48,0.83926,0.50198,1.1071,0.90731,0.91798,0.94362,0.73346,0.92775,0.46355,1.12645,0.00038218,0.00038218,0.00038218
84,4573.91,0.84584,0.50498,1.1185,0.92078,0.91321,0.94633,0.73616,0.92359,0.46638,1.1168,0.000376683,0.000376683,0.000376683
85,4628.19,0.84505,0.50099,1.10842,0.91099,0.92631,0.94658,0.73965,0.9238,0.45858,1.10213,0.000371185,0.000371185,0.000371185
86,4682.72,0.84504,0.50337,1.11223,0.91732,0.92107,0.94463,0.73091,0.93402,0.46915,1.12644,0.000365687,0.000365687,0.000365687
87,4737.16,0.83966,0.49951,1.11181,0.91531,0.91735,0.94447,0.73432,0.92364,0.46625,1.12175,0.000360189,0.000360189,0.000360189
88,4791.45,0.83606,0.49919,1.11133,0.89885,0.93723,0.9448,0.7342,0.93524,0.46491,1.1339,0.000354691,0.000354691,0.000354691
89,4845.32,0.82826,0.49366,1.10175,0.91558,0.92052,0.94294,0.73264,0.92956,0.46613,1.12515,0.000349194,0.000349194,0.000349194
90,4899.64,0.82815,0.49571,1.10521,0.90327,0.92483,0.94361,0.73607,0.92797,0.46406,1.11485,0.000343696,0.000343696,0.000343696
91,4953.29,0.82358,0.49008,1.10356,0.91131,0.9237,0.9424,0.73285,0.92867,0.46515,1.1279,0.000338198,0.000338198,0.000338198
92,5006.88,0.82207,0.48984,1.1072,0.91193,0.91355,0.94002,0.72524,0.94039,0.46947,1.13261,0.0003327,0.0003327,0.0003327
93,5060.73,0.81988,0.4872,1.0992,0.90823,0.91436,0.94246,0.72859,0.93671,0.47056,1.12656,0.000327202,0.000327202,0.000327202
94,5114.26,0.82229,0.48909,1.10105,0.89957,0.92458,0.93895,0.7268,0.92514,0.4633,1.10223,0.000321705,0.000321705,0.000321705
95,5168.11,0.82226,0.48359,1.10192,0.91495,0.91007,0.93926,0.71752,0.96129,0.46773,1.14035,0.000316207,0.000316207,0.000316207
96,5221.84,0.81379,0.48179,1.09747,0.89764,0.9242,0.93845,0.71909,0.96279,0.47649,1.14414,0.000310709,0.000310709,0.000310709
97,5275.7,0.811,0.48106,1.09529,0.91905,0.91859,0.94586,0.73647,0.92667,0.45985,1.10721,0.000305211,0.000305211,0.000305211
98,5329.71,0.80962,0.48462,1.09367,0.90582,0.92709,0.94644,0.73356,0.93855,0.46616,1.09384,0.000299713,0.000299713,0.000299713
99,5383.46,0.80691,0.47807,1.08384,0.92206,0.90237,0.94123,0.72414,0.94136,0.47233,1.11092,0.000294216,0.000294216,0.000294216
